nombre,precio,descripcion,localizacion,imagen
3bhk flat for lease with all facilities at hoodi near chaitanya school,"₹ 20,00,000",3 Bds - 2 Ba - 1200 ft2,"HOODI, BENGALURU",https://apollo.olx.in/v1/files/ew8ou209ok722-IN/image;s=272x0
Brand new geyser 25ltr five star Aquafresh with warranty 5year,"₹ 3,499",Sin información,"SECTOR 45C, CHANDIGARH",https://apollo.olx.in/v1/files/ec7l5ubzr46c3-IN/image;s=272x0
Apple iphone 15 pro max,"₹ 55,000",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/ykzt58jpjw6l3-IN/image;s=272x0
Samsung galaxy s24 ultra .with bill box refurbished mobile available,"₹ 32,499",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/0oaogxy1q8cs-IN/image;s=272x0
Maruti Suzuki Baleno 2018 July Model 2 nd,"₹ 5,75,000","2018 - 60,000 km","SAMUDRAPUR MIDC, MAHARASHTRA",https://apollo.olx.in/v1/files/vcujvrydtjmk-IN/image;s=272x0
Maruti Suzuki Wagon R 1.0 2019 Petrol 42000 Km Driven,"₹ 5,10,000","2019 - 42,000 km","BIDKAR WARD, HINGANGHAT",https://apollo.olx.in/v1/files/xwozir4yzkum1-IN/image;s=272x0
Agriculture land with farm,"₹ 30,00,000",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/ld5qi1hmdb9w-IN/image;s=272x0
Smart Watch For Men's Small Prices,₹ 499,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/tc6sd6zfy1rh2-IN/image;s=272x0
We have new latest collection 5g watch online order book,"₹ 2,000",1 Bds - 1 Ba - 40 ft2,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/iwxfkqbb2cwi2-IN/image;s=272x0
New Check Shirts for Men (Pack of 4) OFFER HOME DELIVERY ALL INDIA COD,"₹ 1,000",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/lfe3xhapevwq1-IN/image;s=272x0
we have new latest collection combo pecks online order book,"₹ 2,000",1 Bds - 1 Ba - 30 ft2,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/bxlasa9f063a2-IN/image;s=272x0
Solid 35 liter casual bag,₹ 499,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/rjs4sul3zffp3-IN/image;s=272x0
Cod available,₹ 600,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/omsgb1w89ywj2-IN/image;s=272x0
eWools Men Solid Winter Wear Full Sleeves Windcheater Jackets,₹ 699,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/9uxhsgk1meg62-IN/image;s=272x0
New M10/M28 Wireless Earbuds TWS 5.1 HOME DELIVERY ALL INDIA COD YES,₹ 600,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/s7lvnb7gd3n63-IN/image;s=272x0
Cod available,"₹ 1,000",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/8y9rmc6k6d3o1-IN/image;s=272x0
Canon EOS 9000d 55-250mm lens,"₹ 30,900",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/vu345qdh8aj31-IN/image;s=272x0
Watch Crystal,"₹ 3,000",Sin información,"RAMDASPETH, NAGPUR",https://apollo.olx.in/v1/files/j4xgp23ojkfi-IN/image;s=272x0
3000 LUMENS YOUTUBE WIFI SMART FULL HD VIDEO PROJECTOR HDMI USB AV AUX,"₹ 4,999",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/3q4y7hw3bdg22-IN/image;s=272x0
Philips Hair Straightener,₹ 950,Sin información,"EKORI WARD, CHANDRAPUR",https://apollo.olx.in/v1/files/8f4spudr93t81-IN/image;s=272x0
500 Sqyards Plot For Sale in Omaxe Phase 1 New Chandigarh.,"₹ 3,75,00,000",Sin información,"NEW CHANDIGARH, CHANDIGARH",https://apollo.olx.in/v1/files/vt812z5hhndg1-IN/image;s=272x0
"Maruti Suzuki Swift 2004-2010 VDI BSIV W ABS, 2010, Diesel","₹ 2,45,000","2010 - 86,552 km","KHAIRTABAD, HYDERABAD",https://apollo.olx.in/v1/files/jihf0fm02whe2-IN/image;s=272x0
iPhone 12 GB,"₹ 9,500",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/jnnah52by10b2-IN/image;s=272x0
128 GB iPhone 12,"₹ 9,500",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/hwc4uib8frjy1-IN/image;s=272x0
Maruti Suzuki Swift Dzire 2014 Diesel Well Maintained,"₹ 5,75,000","2014 - 86,200 km","GOMAJI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/lbmc18dlr1052-IN/image;s=272x0
Maruti Suzuki 800 2007 Petrol 41500 Km Driven,"₹ 45,000","2007 - 41,500 km","SHASTRI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/sl7xyz2u32bu3-IN/image;s=272x0
We have new latest collection ultra sim watches online order book,"₹ 2,000",1 Bds - 1 Ba - 30 ft2,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/kg1gmr0vsitu-IN/image;s=272x0
Bodycon mini dress,₹ 800,Sin información,"POLICE NAGAR, NAGPUR",https://apollo.olx.in/v1/files/n2wovvcg13q03-IN/image;s=272x0
Arjant sel,"₹ 10,00,000",Sin información,"SANT TUKDOJI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/b45rzjs5nkdn-IN/image;s=272x0
Bridal Lehenga,"₹ 25,000",Sin información,"ARYA NAGAR, NAGPUR",https://apollo.olx.in/v1/files/9d6iumeqs1ex-IN/image;s=272x0
Fully furnish shop with cabin and parking,"₹ 5,000",Sin información,"RAM NAGAR WARD, HINGANGHAT",https://apollo.olx.in/v1/files/78rm1krv0bek2-IN/image;s=272x0
Sonata Quartz Analog Silver Di al Watch for Men,₹ 500,Sin información,"SHIVAJI NAGAR, YAVATMAL",https://apollo.olx.in/v1/files/aqyw7jrirtxz2-IN/image;s=272x0
"7500LM New Arrival 3D Android WI-FI,BT 4K LED Projector 4D Correction","₹ 22,600",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/2wqdgmbstevo2-IN/image;s=272x0
Branded shoes lot main dena hai,"₹ 20,000",Sin información,"DAVLAMETI, NAGPUR",https://apollo.olx.in/v1/files/lvyhoaltgorl1-IN/image;s=272x0
New neckband,₹ 499,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/tg7441n73of73-IN/image;s=272x0
Read &tailor blazer size 42,"₹ 1,300",Sin información,"NAL SAHAB CHOWK, NAGPUR",https://apollo.olx.in/v1/files/6vixtau0tr9e3-IN/image;s=272x0
Cod available,₹ 850,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/euq2swbevmlo-IN/image;s=272x0
Insulated Sweater for winter season 200each for 5-11 year kids,"₹ 1,000",Sin información,"DAHI BAZAR, NAGPUR",https://apollo.olx.in/v1/files/tqdd1ycwgjh71-IN/image;s=272x0
New 46PCS 1/4 inch Drive Socket Set HOME DELIVERY INDIA COD AVAILABLE,₹ 600,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/kt2m281nvbu43-IN/image;s=272x0
Dulhe raja clothes new one time use only,"₹ 6,000",Sin información,"SABLE LAYOUT, WARDHA",https://apollo.olx.in/v1/files/ix7caupok6jd3-IN/image;s=272x0
Ducati icon Red for sale,"₹ 8,00,000","2022 - 10,500 km","VADAPALANI, CHENNAI",https://apollo.olx.in/v1/files/6mtoawkb1yef3-IN/image;s=272x0
"Tata Nexon 1.2 Revotron XM (S), 2022, Petrol","₹ 8,99,000","2022 - 13,000 km","DLF CITY PHASE 1, GURGAON",https://apollo.olx.in/v1/files/o26u0ea97ryp1-IN/image;s=272x0
Get iPhone 13 Refurbished at genuine price in your budget,"₹ 19,000",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/o9y49bcxhzg11-IN/image;s=272x0
"iPhone 13 128GB For Sale With 95% Battery Health, Refurbished Model .","₹ 20,200",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/kaoyt6l4b3ji1-IN/image;s=272x0
Honda Amaze 2019 Petrol Well Maintained,"₹ 6,00,000","2019 - 12,000 km","BIDKAR WARD, HINGANGHAT",https://apollo.olx.in/v1/files/sy8nw7z7dpoc-IN/image;s=272x0
Hyundai Creta 2019 Diesel Well Maintained,"₹ 10,50,000","2019 - 80,000 km","YESHWANT NAGAR, HINGANGHAT",https://apollo.olx.in/v1/files/pjqdq125m1b63-IN/image;s=272x0
"25 lakh , call me","₹ 25,00,000",2 Bds - 1 Ba - 850 ft2,"RITHE COLONY, HINGANGHAT",https://apollo.olx.in/v1/files/pff0h2fh1o8p1-IN/image;s=272x0
New CTR mens shoes,₹ 999,Sin información,"GADGE NAGAR, YAVATMAL",https://apollo.olx.in/v1/files/nw3z8t3v0j151-IN/image;s=272x0
Old construction. Total 2700sqft area,"₹ 1,20,00,000",Sin información,"HINGANGHAT, MAHARASHTRA",https://apollo.olx.in/v1/files/gzqxyldatkut-IN/image;s=272x0
"CLUBRIDER, L SIZE ,EASY AUTHENTIC WEAR , never give up logo",₹ 50,Sin información,"SHRADHA NAGAR, NAGPUR",https://apollo.olx.in/v1/files/5h8tnia4tpvq2-IN/image;s=272x0
Umakant salave,"₹ 32,00,000",4+ Bds - 2 Ba - 1000 ft2,"SHASTRI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/x9w5fsms440o-IN/image;s=272x0
Nice sleeper,₹ 300,Sin información,"RMS COLONY, NAGPUR",https://apollo.olx.in/v1/files/ikvarsd52oq72-IN/image;s=272x0
These cooler is very good condition,"₹ 3,000",Sin información,"SAMUDRAPUR MIDC, MAHARASHTRA",https://apollo.olx.in/v1/files/abytyzea3q7d3-IN/image;s=272x0
Raymond blazer,"₹ 2,000",Sin información,"KHAPRI, NAGPUR",https://apollo.olx.in/v1/files/wjn8xbfs5gw1-IN/image;s=272x0
RDD5 3D 4K projector wifi smart youtube live tv usb hdmi 155 inch size,"₹ 3,500",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/ctwkwj3ag4em3-IN/image;s=272x0
All type of bags,"₹ 1,000",Sin información,"TINNAL CHOWK, NAGPUR",https://apollo.olx.in/v1/files/tvbaj4uqddtu3-IN/image;s=272x0
RD5 projector 3D 4K wifi smart youtube live tv usb hdmi 145 inch size,"₹ 3,500",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/4cf3xiihltsk-IN/image;s=272x0
Vintage Mens Jacket,"₹ 1,000",Sin información,"AGARESEN CHOWK, NAGPUR",https://apollo.olx.in/v1/files/7zkaop189apy2-IN/image;s=272x0
led projector shop 4k 3d all projector wifi mcast usb android models,"₹ 3,599",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/zemcfyu0xqve1-IN/image;s=272x0
Purple blezer for men,"₹ 1,499",Sin información,"TEKA NAKA, NAGPUR",https://apollo.olx.in/v1/files/uvf7143nyuij2-IN/image;s=272x0
Luxurious 2BHK flat in Curti Ponda Goa,"₹ 50,000",2 Bds - 2 Ba - 1100 ft2,"CURTI, GOA",https://apollo.olx.in/v1/files/qa2u2rihpsfk2-IN/image;s=272x0
"Plot at Sipcot Emerald Nagar, Ranipet","₹ 38,00,000",Sin información,"KARAI, RANIPETTAI",https://apollo.olx.in/v1/files/6l1512to1t2e3-IN/image;s=272x0
"iPhone 13 128GB For Sale With 95% Battery Health, Refurbished Model .","₹ 20,200",Sin información,"SAMUDRAPUR MIDC, MAHARASHTRA",https://apollo.olx.in/v1/files/nvb0cry3tpu5-IN/image;s=272x0
"Selling Samsung S23 Two Month Used, Superb Condition, 8/256 GB Variant","₹ 18,000",Sin información,"SAMUDRAPUR MIDC, MAHARASHTRA",https://apollo.olx.in/v1/files/15q255uevp4e1-IN/image;s=272x0
Chevrolet Tavera 2011 Diesel Well Maintained,"₹ 2,60,000","2011 - 100,000 km","INDIRA GANDHI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/30fm3waphz503-IN/image;s=272x0
Hyundai Xcent 2019 Petrol 64000 Km Driven,"₹ 6,50,000","2019 - 64,000 km","JAIN MANDIR WARD, HINGANGHAT",https://apollo.olx.in/v1/files/n14ajao44p9c2-IN/image;s=272x0
At Mhasala,"₹ 11,00,000",Sin información,"SHASTRI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/0n0bxpnfaphk2-IN/image;s=272x0
Mens 3 piece suite,"₹ 4,500",Sin información,"MIHAN, NAGPUR",https://apollo.olx.in/v1/files/aqh858vorozc1-IN/image;s=272x0
Genuine plot for sale,"₹ 15,00,000",Sin información,"CHIKNA, NEAR PIPLA, NAGPUR",https://apollo.olx.in/v1/files/cq18bl4cn70c-IN/image;s=272x0
Casio edifice solor powered watch,"₹ 4,500",Sin información,"URUVITA COLONY, NAGPUR",https://apollo.olx.in/v1/files/y0cpj21h95ok-IN/image;s=272x0
Spacious Godown Available for Rent at Unbeatable Rates!,"₹ 3,999",2 Bds - 1 Ba - 800 ft2,"RAMAKRISHNA NAGAR, NAGPUR",https://apollo.olx.in/v1/files/afz43d70r6ju3-IN/image;s=272x0
Extra 2 Bottle Sri Adivasi oil Savanthi Herbal Hai oil,"₹ 1,200",Sin información,"LAXMI NAGAR, NAGPUR",https://apollo.olx.in/v1/files/ys6y0zzhx2ri1-IN/image;s=272x0
Indian Set Diwan of Sagwan Wood,"₹ 8,500",Sin información,"JAIN MANDIR WARD, HINGANGHAT",https://apollo.olx.in/v1/files/d06sa4olewuv-IN/image;s=272x0
Paragon Women's Casual Sandals,₹ 850,Sin información,"THANA, MAHARASHTRA",https://apollo.olx.in/v1/files/hyhitk9vzikp2-IN/image;s=272x0
Queen size 5x6 Metal detacheble bed with 4 inch foam mattress,"₹ 8,000",Sin información,"INDIRA GANDHI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/onglca5e0fuz-IN/image;s=272x0
G-Shock Casio branded watch,₹ 799,Sin información,"POLICE HEAD QUARTER NAGAR, NAGPUR",https://apollo.olx.in/v1/files/lfogou9i1u9k-IN/image;s=272x0
WEDDING BEST HD NEW DRONE CAMERA WITH REMOT CONTROL..fez,"₹ 13,000",Sin información,"BHAIMAREN, HINGANGHAT",https://apollo.olx.in/v1/files/c5rboglqjgwv3-IN/image;s=272x0
Wax heater with waxing knife and waxing strips with white chocolate,₹ 400,Sin información,"ALL INDIA RADIO, NAGPUR",https://apollo.olx.in/v1/files/j8dj7skoka2i3-IN/image;s=272x0
Videocon TV in Good Condition.,"₹ 2,300",Sin información,"ADARSH NAGAR, HINGANGHAT",https://apollo.olx.in/v1/files/qqkv7wzgvg472-IN/image;s=272x0
Heavy Lehnga for sale. Wore only once,"₹ 5,000",Sin información,"GANESH PETH, NAGPUR",https://apollo.olx.in/v1/files/92g76ynieuh62-IN/image;s=272x0
"BMW X5 xDrive 40i M Sport, 2022, Diesel","₹ 1,15,00,000","2022 - 12,800 km","THONDAYAD, KOZHIKODE",https://apollo.olx.in/v1/files/5jzbm4ubz2io3-IN/image;s=272x0
Ready to Move 3 Bedroom Flat(Fully furnished) near Holiday Inn,"₹ 69,50,000",3 Bds - 2 Ba - 1300 ft2,"VENNALA, KOCHI",https://apollo.olx.in/v1/files/y520oym3gt5w2-IN/image;s=272x0
"Selling Samsung S23 Two Month Used, Superb Condition, 8/256 GB Variant","₹ 18,000",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/uyb9bfsdtjd01-IN/image;s=272x0
i Phone 12,"₹ 9,499",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/gfr0zm103mi33-IN/image;s=272x0
Argent sell,"₹ 45,000","2018 - 30,000 km","TILAK WARD, HINGANGHAT",https://apollo.olx.in/v1/files/fygbegacmoka3-IN/image;s=272x0
Good condition,"₹ 28,000","2013 - 45,000 km","ADARSH NAGAR, HINGANGHAT",https://apollo.olx.in/v1/files/n231fx8li05b3-IN/image;s=272x0
3 BHK House for rent,"₹ 15,500",3 Bds - 3 Ba - 1400 ft2,"NARSALA, NAGPUR",https://apollo.olx.in/v1/files/lwfzy6kk8ace1-IN/image;s=272x0
Marriage sherwani,"₹ 55,000",Sin información,"HITWAD, NAGPUR",https://apollo.olx.in/v1/files/yfbfpnauecy51-IN/image;s=272x0
"Luxury Plot for Sale in Mihan, Nagpur","₹ 18,00,000",Sin información,"MIHAN, NAGPUR",https://apollo.olx.in/v1/files/y13fsf47sxkw-IN/image;s=272x0
Fastrack Watch,"₹ 2,500",Sin información,"GITTI KHADAN, NAGPUR",https://apollo.olx.in/v1/files/1zakpchyxnsq1-IN/image;s=272x0
"Ultra Luxurious Plot for Sale in Manish Nagar, Nagpur","₹ 25,00,000",Sin información,"MANISH NAGAR, NAGPUR",https://apollo.olx.in/v1/files/n99nwmsyxxng1-IN/image;s=272x0
Men sports shoes,₹ 499,Sin información,"BAIHIRAM NAGAR, GHUGUS",https://apollo.olx.in/v1/files/ip15kvt8y9l62-IN/image;s=272x0
Coca cola fridge,"₹ 17,000",Sin información,"SANT DYNANESWAR WARD, HINGANGHAT",https://apollo.olx.in/v1/files/nicng42rcrq5-IN/image;s=272x0
Armaf Perfume,"₹ 3,100",Sin información,"RADAKE LAYOUT, NAGPUR",https://apollo.olx.in/v1/files/023fi92o7p8q3-IN/image;s=272x0
"Urgent sale, हिंगणघाट, महाराष्ट्र, 2 ceiling fan Crompton, Bajaj","₹ 1,500",Sin información,"SHAHANGADI, HINGANGHAT",https://apollo.olx.in/v1/files/h5xzbtfx2ziw1-IN/image;s=272x0
Track jacket,₹ 799,Sin información,"ABHYANKAR NAGAR, NAGPUR",https://apollo.olx.in/v1/files/i4grhz4a35g02-IN/image;s=272x0
Ps4 Game CDs,"₹ 2,850",Sin información,"SANT TUKDOJI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/lypg287oh18h1-IN/image;s=272x0
"Cartier Must De Wine Leather Wallet,Armani Jeans Tote,Mark Jacobs Tab","₹ 3,000",Sin información,"RAJ NAGAR, NAGPUR",https://apollo.olx.in/v1/files/vq3o5l6zgdij-IN/image;s=272x0
RD5 3D 4K smart projector wifi mcast youtube live tv usb hdmi 155 size,"₹ 6,613",Sin información,"GANDHI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/ll3wfsd42w5l2-IN/image;s=272x0
"Dsquared2 Leather Belt,G-Star Raw Star, Lamborghini,Paul Smith Shoes","₹ 3,000",Sin información,"RAJ NAGAR, NAGPUR",https://apollo.olx.in/v1/files/fr9wx8liapab1-IN/image;s=272x0
